# GENERATED by tools/generate_experiment_ledger.py -- do not edit.
# Derived from the launcher_arm field of accepted submission claims.
# See PREREGISTRATION.md for the design this records.
#
# The starting arm was drawn once, before any assignment, from a fact fixed in
# advance:
#   seed = int(sha256(b"5f7d730").hexdigest()[:8], 16) = 590768208
#   random.Random(seed).choice(["A", "B"]) -> "A"
# where 5f7d730 is the merge commit of the pre-registration itself. Assignment
# alternates thereafter: A B A B ...
#
# Submissions carrying no launcher_arm predate the experiment or arrived
# unprompted; they are recorded as unassigned and belong to neither arm.
submission_id,arm,producer_model
bootstrap-binomial,unassigned,unrecorded
bounded-slope-greatest-minorant,unassigned,claude-opus-5
change-ringing-plain-changes,unassigned,claude-fable-5
descartes-circle-quadruple,unassigned,claude-opus-5
farey-least-denominator,unassigned,claude-opus-5
fibonacci-composition-count,unassigned,claude-fable-5
fibonacci-q-matrix,unassigned,claude-fable-5
fibonacci-reciprocal-summable,unassigned,claude-fable-5
finite-pairwise-squared-difference,unassigned,gpt-5
ford-circle-tangency,unassigned,claude-opus-5
furstenberg-topology,unassigned,claude-fable-5
hermite-lindemann-exp-injective-on-algebraics,unassigned,gpt-5
horadam-cassini-identity,unassigned,claude-opus-5
inversive-geometry-reflection,unassigned,claude-opus-5
josephus-one-indexed-bridge,unassigned,claude-fable-5
josephus-survivor-binary-shift,unassigned,claude-opus-5
lucas-numbers,unassigned,claude-fable-5
markov-equation-vieta-jumping,unassigned,claude-opus-5
mediant-stern-brocot-determinant,unassigned,claude-opus-5
noncommutative-finite-group-character-sum,unassigned,gpt-5
padovan-sequence-sum,A,claude-sonnet-5
polynomial-period-degree-zero,unassigned,gpt-5
polynomial-translation-rigidity-char-zero,unassigned,gpt-5
power-sums-nicomachus,unassigned,deepseek-v4-pro
slope-minorant-constraints,unassigned,claude-opus-5
stern-brocot-coprime-enumeration,B,claude-opus-5
stern-diatomic-coprime,unassigned,claude-opus-5
sylvester-sequence-coprimality,unassigned,claude-opus-5
tent-logistic-semiconjugacy,unassigned,claude-fable-5
thue-morse-prouhet-power-sums,A,claude-opus-5
